Compartment,Exchange,Subcompartment,Electricity_production,Electricity_consumption,Heat_Steam,Equipment_Diesel,Equipment_Gasoline,Equipment_LPG,Equipment_CNG,Equipment_Residual_Fuel_Oil,Equipment_Distillate,Equipment_Kerosene,Equipment_Petroleum_Crude_Oil,Boiler_Diesel,Boiler_Gasoline,Boiler_LPG,Boiler_CNG,Boiler_Residual_Fuel_Oil,Boiler_Distillate,Boiler_Kerosene,Boiler_Petroleum_Crude_Oil,Boiler_Coke,Boiler_Bitumen,Boiler_Coal,Boiler_Wood,Internal_Process_Transportation_Heavy_Duty_Diesel_Truck,Internal_Process_Transportation_Medium_Duty_Diesel_Truck,Internal_Process_Transportation_Barge,Internal_Process_Transportation_Cargo_Ship,Internal_Process_Transportation_Rail,Collection_Diesel,Collection_CNG,Collection_Biodiesel,Collection_Gasoline_Passenger_Vehicle,Collection_Other,Empty_Return_Heavy_Duty_Diesel_Truck,Empty_Return_Medium_Duty_Diesel_Truck,LF_Emission_Material_used,lime_hydrated_loose_weight_RoW_lime_production,ammonia_liquid_RoW_ammonia_production_steam_reforming_liquid,charcoal_GLO_charcoal_production,Nitrogen_Fertilizer,Phosphorous_Fertilizer,Potassium_Fertilizer,Peat,Gore_Cover,Wire,compost_to_LF,market_for_excavation_skid_steer_loader,
,,,kWh/Mg,kWh/Mg,MJ/Mg,L/Mg,L/Mg,L/Mg,,L/Mg,L/Mg,L/Mg,L/Mg,L/Mg,L/Mg,L/Mg,m3/Mg,L/Mg,L/Mg,L/Mg,L/Mg,,,,,kgkm/Mg,kgkm/Mg,kgkm/Mg,kgkm/Mg,kgkm/Mg,L/Mg,L/Mg,L/Mg,L/Mg,L/Mg,vkm/Mg,vkm/Mg,kg/Mg,kg/Mg,kg/Mg,kg/Mg,kg-P/Mg,kg-P/Mg,kg-K/Mg,Mg peat/Mg,kg/Mg,kg/Mg,kg/Mg,kg/m3,kg/m3
Air,"1,4-Butanediol",urban air close to ground,-2.54357E-11,2.54E-11,3.96E-13,6.60E-13,3.80E-07,2.46E-11,3.07E-07,2.28E-11,2.36E-10,0,0,2.36E-10,3.80E-07,2.46E-11,3.07E-07,2.28E-11,2.36E-10,0,0,0,0,0,0,7.84E-17,1.82E-14,5.43E-17,1.14E-18,2.60E-17,5.80E-10,2.63E-09,2.48E-07,5.37E-11,0,4.95E-13,4.37E-13,4.48E-12,8.07E-12,7.85E-11,1.10E-10,4.03E-09,2.43E-10,1.69E-09,1.95E-09,1.63E-09,7.76E-10,3.35E-10,1.13E-13,1.57E-11
Air,1-Pentanol,urban air close to ground,-2.12551E-13,2.13E-13,8.62E-16,-4.00E-15,5.06E-12,4.75E-13,3.74E-12,4.95E-13,1.00E-12,0,0,1.00E-12,5.06E-12,4.75E-13,3.74E-12,4.95E-13,1.00E-12,0,0,0,0,0,0,1.40E-18,1.76E-16,-6.91E-18,-2.50E-20,-5.91E-19,5.59E-12,2.53E-11,4.54E-09,5.14E-13,0,4.96E-15,4.21E-15,6.09E-14,2.79E-13,5.47E-13,1.43E-12,1.47E-09,5.71E-11,8.17E-10,8.47E-11,5.27E-11,8.80E-12,9.82E-13,-6.81E-16,1.62E-13
Air,1-Pentene,urban air close to ground,-3.39241E-13,3.39E-13,4.34E-12,5.16E-12,6.59E-06,1.00E-12,1.35E-11,8.23E-13,3.00E-12,0,0,3.00E-12,6.59E-06,1.00E-12,1.35E-11,8.23E-13,3.00E-12,0,0,0,0,0,0,1.65E-16,3.66E-16,7.87E-17,4.64E-18,1.77E-16,1.16E-11,1.07E-10,3.45E-09,3.03E-07,0,9.46E-15,8.46E-15,2.59E-13,3.11E-13,8.78E-12,1.32E-12,1.22E-09,5.15E-11,6.19E-10,8.58E-11,1.82E-10,8.48E-12,4.07E-09,9.33E-13,2.14E-11
Air,"2,4-D",non-urban air or from high stacks,-3.17846E-12,3.18E-12,-3.80E-14,-2.73E-12,1.11E-10,1.05E-11,7.77E-11,1.17E-11,1.53E-11,0,0,1.53E-11,1.11E-10,1.05E-11,7.77E-11,1.17E-11,1.53E-11,0,0,0,0,0,0,-1.97E-16,1.40E-14,-1.10E-15,-1.11E-17,-2.23E-16,4.47E-10,2.04E-09,1.01E-06,1.69E-11,0,3.78E-13,3.38E-13,1.59E-12,4.21E-12,6.90E-12,4.36E-10,5.53E-09,2.58E-10,1.99E-09,3.41E-10,1.95E-10,2.01E-09,5.84E-11,-4.44E-13,-5.67E-12
Air,2-Aminopropanol,urban air close to ground,-4.12379E-13,4.12E-13,-7.32E-17,-6.16E-15,3.90E-12,3.82E-13,2.89E-12,4.06E-13,7.92E-13,0,0,7.92E-13,3.90E-12,3.82E-13,2.89E-12,4.06E-13,7.92E-13,0,0,0,0,0,0,-4.15E-19,1.34E-16,-2.68E-18,-2.07E-20,-5.28E-19,4.26E-12,1.93E-11,3.57E-08,4.22E-13,0,3.77E-15,3.22E-15,6.31E-14,2.15E-13,4.42E-13,1.64E-12,1.14E-09,4.45E-11,6.29E-10,6.90E-11,4.18E-11,9.37E-12,9.00E-13,-1.01E-15,-9.26E-15
Air,2-Methyl pentane,urban air close to ground,-1.68484E-11,1.68E-11,4.11E-10,4.79E-10,9.13E-05,6.11E-11,1.01E-09,4.24E-11,2.13E-10,0,0,2.13E-10,9.13E-05,6.11E-11,1.01E-09,4.24E-11,2.13E-10,0,0,0,0,0,0,1.49E-14,2.19E-14,7.61E-15,4.32E-16,1.45E-14,6.96E-10,8.32E-09,1.22E-09,8.45E-05,0,5.37E-13,4.96E-13,2.02E-11,9.55E-12,7.93E-10,2.22E-11,1.01E-08,7.91E-10,2.19E-10,2.07E-09,1.35E-08,1.64E-10,5.75E-08,8.68E-11,1.96E-09
Air,2-Methyl-1-propanol,urban air close to ground,-4.43797E-13,4.44E-13,4.74E-15,1.32E-13,8.24E-12,7.08E-13,6.07E-12,7.87E-13,1.49E-12,0,0,1.49E-12,8.24E-12,7.08E-13,6.07E-12,7.87E-13,1.49E-12,0,0,0,0,0,0,1.12E-17,3.39E-16,1.90E-17,3.62E-19,6.16E-18,1.08E-11,4.84E-11,1.37E-08,8.41E-13,0,9.33E-15,8.10E-15,1.05E-13,4.41E-13,9.24E-13,4.56E-12,1.82E-09,7.42E-11,1.02E-09,1.30E-10,7.62E-11,2.77E-11,2.21E-12,2.10E-14,5.16E-13
Air,2-Methyl-2-butene,urban air close to ground,-4.32501E-14,4.33E-14,-2.38E-18,-5.19E-18,3.04E-12,2.31E-14,2.44E-12,2.04E-14,4.28E-14,0,0,4.28E-14,3.04E-12,2.31E-14,2.44E-12,2.04E-14,4.28E-14,0,0,0,0,0,0,5.33E-22,1.71E-17,-3.20E-21,-1.44E-23,-3.68E-22,5.43E-13,2.46E-12,2.89E-12,3.21E-14,0,5.19E-16,4.09E-16,9.49E-15,7.01E-15,4.90E-14,3.69E-15,2.61E-12,8.39E-14,4.25E-13,1.42E-12,2.44E-12,1.15E-13,1.15E-13,-9.20E-19,5.96E-17
Air,2-Nitrobenzoic acid,urban air close to ground,-1.59149E-13,1.59E-13,-2.38E-16,-1.82E-14,3.29E-12,2.55E-13,2.40E-12,3.18E-13,5.35E-13,0,0,5.35E-13,3.29E-12,2.55E-13,2.40E-12,3.18E-13,5.35E-13,0,0,0,0,0,0,-1.27E-18,1.55E-16,-7.61E-18,-6.88E-20,-1.52E-18,4.93E-12,2.24E-11,9.89E-09,3.50E-13,0,4.17E-15,3.72E-15,3.96E-14,1.69E-13,4.06E-13,3.59E-12,3.49E-10,1.61E-11,2.10E-10,5.18E-11,2.64E-11,1.73E-11,7.76E-13,-2.97E-15,-3.27E-14
Air,2-Propanol,urban air close to ground,-1.98347E-09,1.98E-09,3.12E-11,2.85E-09,1.47E-06,4.51E-09,1.19E-06,2.10E-09,1.07E-08,0,0,1.07E-08,1.47E-06,4.51E-09,1.19E-06,2.10E-09,1.07E-08,0,0,0,0,0,0,3.27E-12,1.77E-11,6.82E-14,1.20E-14,1.19E-13,5.65E-07,2.53E-06,6.81E-07,1.14E-08,0,4.83E-10,4.25E-10,1.40E-09,2.57E-09,2.30E-07,4.22E-10,2.95E-06,2.29E-07,4.90E-08,8.58E-08,3.59E-06,1.49E-08,8.75E-08,2.91E-10,8.56E-08
Air,3-Methyl-1-butanol,urban air close to ground,0,0,0,0,0,0.00E+00,0.00E+00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,,0,0,0
Air,4-Methyl-2-pentanone,urban air close to ground,0,0,0,0,0,0.00E+00,0.00E+00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,,0,0,0
Air,Acenaphthene,non-urban air or from high stacks,-3.57201E-11,3.57E-11,4.32E-14,3.75E-12,1.75E-11,1.06E-12,1.39E-11,1.69E-12,3.02E-12,0,0,3.02E-12,1.75E-11,1.06E-12,1.39E-11,1.69E-12,3.02E-12,0,0,0,0,0,0,1.50E-16,3.31E-16,9.63E-17,1.71E-17,1.89E-16,1.05E-11,3.21E-11,1.63E-11,1.63E-12,0,7.21E-15,6.99E-15,4.78E-12,1.05E-12,3.57E-12,2.48E-13,2.53E-11,8.72E-12,3.30E-12,4.08E-10,2.15E-10,4.63E-12,5.44E-11,5.66E-13,6.32E-11
Air,Acenaphthene,unspecified,-2.41997E-12,2.42E-12,9.66E-13,2.77E-11,3.97E-13,2.46E-14,1.11E-12,4.13E-14,6.93E-14,0,0,6.93E-14,3.97E-13,2.46E-14,1.11E-12,4.13E-14,6.93E-14,0,0,0,0,0,0,1.53E-15,1.16E-15,3.55E-16,4.27E-17,4.68E-16,3.70E-11,1.28E-10,4.43E-13,4.36E-14,0,1.67E-14,1.86E-14,1.39E-13,2.68E-14,5.67E-13,5.18E-15,7.96E-13,2.23E-13,9.19E-14,6.29E-12,5.57E-12,1.17E-13,7.03E-11,4.34E-12,3.78E-11
Air,Acenaphthene,urban air close to ground,-4.16942E-15,4.17E-15,0,0,4.00E-13,4.57E-14,2.99E-13,4.30E-14,1.01E-13,0,0,1.01E-13,4.00E-13,4.57E-14,2.99E-13,4.30E-14,1.01E-13,0,0,0,0,0,0,0,8.48E-18,0,0,0,2.70E-13,1.06E-12,4.41E-13,4.75E-14,0,2.20E-16,1.95E-16,3.33E-15,2.39E-14,4.97E-14,4.68E-15,7.54E-13,1.20E-13,6.42E-14,5.43E-12,5.54E-12,5.33E-14,4.26E-14,0,0
Air,Acephate,non-urban air or from high stacks,-3.3785E-13,3.38E-13,-4.03E-15,-2.90E-13,1.18E-11,1.12E-12,8.26E-12,1.25E-12,1.62E-12,0,0,1.62E-12,1.18E-11,1.12E-12,8.26E-12,1.25E-12,1.62E-12,0,0,0,0,0,0,-2.09E-17,1.49E-15,-1.17E-16,-1.18E-18,-2.37E-17,4.75E-11,2.16E-10,1.07E-07,1.80E-12,0,4.02E-14,3.59E-14,1.69E-13,4.47E-13,7.34E-13,4.64E-11,5.88E-10,2.74E-11,2.11E-10,3.63E-11,2.07E-11,2.13E-10,6.21E-12,-4.72E-14,-6.03E-13
Air,Acetaldehyde,non-urban air or from high stacks,-2.14407E-09,2.14E-09,7.48E-11,2.98E-08,7.81E-09,9.22E-10,5.34E-09,1.15E-09,1.78E-09,0,0,1.78E-09,7.81E-09,9.22E-10,5.34E-09,1.15E-09,1.78E-09,0,0,0,0,0,0,1.12E-12,1.75E-12,1.35E-12,5.28E-14,9.08E-13,5.57E-08,1.09E-07,3.74E-05,1.60E-09,0,3.36E-11,3.36E-11,2.20E-10,3.27E-10,8.12E-10,1.61E-08,2.52E-07,5.32E-08,8.34E-08,5.79E-08,3.81E-08,2.75E-07,7.80E-08,5.17E-09,5.02E-08
Air,Acetaldehyde,unspecified,-1.15905E-08,1.16E-08,-1.91E-10,6.10E-08,6.46E-07,1.77E-07,2.61E-07,1.70E-07,1.94E-07,0,0,1.94E-07,6.46E-07,1.77E-07,2.61E-07,1.70E-07,1.94E-07,0,0,0,0,0,0,9.11E-11,2.66E-11,7.48E-12,7.31E-14,7.32E-12,5.90E-06,2.96E-06,6.17E-06,2.31E-06,0,7.37E-10,5.86E-10,5.04E-09,3.42E-07,6.87E-08,1.61E-08,6.59E-07,5.82E-08,7.51E-08,9.37E-07,1.78E-06,3.97E-08,2.80E-07,6.52E-09,0.000010845
Air,Acetaldehyde,urban air close to ground,-3.1449E-08,3.14E-08,1.33E-09,2.04E-07,3.08E-06,1.16E-08,1.23E-07,1.39E-08,2.73E-08,0,0,2.73E-08,3.08E-06,1.16E-08,1.23E-07,1.39E-08,2.73E-08,0,0,0,0,0,0,6.41E-12,1.20E-11,3.04E-12,3.06E-13,5.08E-12,3.83E-07,3.68E-07,5.49E-07,1.66E-08,0,2.01E-10,2.13E-10,4.79E-09,7.80E-09,1.26E-06,1.77E-07,3.11E-06,8.93E-08,8.29E-08,3.21E-06,1.43E-06,3.41E-08,5.53E-07,3.05E-08,2.24E-07
Air,Acetamide,non-urban air or from high stacks,-8.31672E-14,8.32E-14,-9.93E-16,-7.14E-14,2.90E-12,2.76E-13,2.03E-12,3.07E-13,4.00E-13,0,0,4.00E-13,2.90E-12,2.76E-13,2.03E-12,3.07E-13,4.00E-13,0,0,0,0,0,0,-5.14E-18,3.67E-16,-2.88E-17,-2.91E-19,-5.84E-18,1.17E-11,5.33E-11,2.64E-08,4.43E-13,0,9.89E-15,8.83E-15,4.17E-14,1.10E-13,1.81E-13,1.14E-11,1.45E-10,6.74E-12,5.20E-11,8.93E-12,5.10E-12,5.25E-11,1.53E-12,-1.16E-14,-1.48E-13
Air,Acetic acid,non-urban air or from high stacks,-1.07166E-07,1.07E-07,1.76E-09,8.92E-08,2.50E-07,1.18E-08,1.91E-07,1.70E-08,7.36E-08,0,0,7.36E-08,2.50E-07,1.18E-08,1.91E-07,1.70E-08,7.36E-08,0,0,0,0,0,0,3.47E-12,3.81E-12,5.75E-12,5.96E-13,5.16E-12,1.21E-07,1.95E-06,0.000121071,2.32E-08,0,1.24E-10,1.09E-10,7.70E-09,9.17E-09,3.04E-08,5.45E-08,1.26E-06,2.45E-07,3.06E-07,4.53E-06,3.12E-06,9.56E-07,2.75E-07,1.73E-08,0.000002296
Air,Acetic acid,unspecified,-3.3281E-07,3.33E-07,1.09E-09,2.44E-07,1.35E-06,2.02E-07,9.42E-07,1.97E-07,2.40E-07,0,0,2.40E-07,1.35E-06,2.02E-07,9.42E-07,1.97E-07,2.40E-07,0,0,0,0,0,0,1.15E-11,3.42E-11,3.51E-12,3.51E-13,5.04E-12,1.09E-06,3.79E-06,1.85E-06,2.77E-07,0,9.35E-10,7.53E-10,2.27E-08,2.34E-08,9.05E-08,5.73E-09,7.91E-07,8.00E-08,1.30E-07,1.48E-06,1.46E-06,5.67E-08,8.52E-07,3.91E-08,7.76E-07
Air,Acetic acid,urban air close to ground,-9.27091E-08,9.27E-08,1.60E-07,2.42E-07,9.14E-07,8.70E-08,6.52E-07,9.31E-08,1.75E-07,0,0,1.75E-07,9.14E-07,8.70E-08,6.52E-07,9.31E-08,1.75E-07,0,0,0,0,0,0,7.67E-12,2.64E-11,3.26E-12,3.29E-13,6.55E-12,8.42E-07,2.32E-06,1.95E-06,1.20E-07,0,5.83E-10,5.51E-10,1.77E-08,3.67E-08,8.49E-06,8.92E-09,1.45E-05,3.77E-07,3.46E-07,1.31E-05,7.58E-06,1.39E-07,7.56E-07,3.35E-08,5.02E-07
Air,Acetone,non-urban air or from high stacks,-1.95106E-08,1.95E-08,3.88E-09,6.61E-07,1.92E-06,5.53E-08,1.52E-06,5.84E-08,6.55E-07,0,0,6.55E-07,1.92E-06,5.53E-08,1.52E-06,5.84E-08,6.55E-07,0,0,0,0,0,0,1.87E-11,5.03E-11,2.83E-11,1.16E-12,3.67E-11,1.60E-06,6.98E-06,3.74E-05,9.02E-08,0,1.25E-09,1.17E-09,7.32E-09,1.86E-08,7.78E-08,3.05E-08,1.07E-06,1.40E-07,1.79E-07,5.03E-06,1.83E-06,7.99E-07,1.79E-06,1.22E-07,8.36E-07
Air,Acetone,unspecified,-4.93051E-10,4.93E-10,-6.87E-12,-6.46E-09,4.78E-08,5.39E-11,3.86E-08,5.21E-11,1.17E-10,0,0,1.17E-10,4.78E-08,5.39E-11,3.86E-08,5.21E-11,1.17E-10,0,0,0,0,0,0,-1.65E-14,1.50E-13,7.75E-15,1.73E-15,4.88E-15,4.78E-09,1.51E-08,4.26E-09,1.68E-06,0,3.62E-12,3.25E-12,4.58E-11,3.43E-11,1.19E-10,2.43E-11,1.69E-09,2.16E-10,1.37E-10,5.45E-09,4.38E-09,6.09E-11,-1.41E-08,-1.06E-09,-6.35E-09
Air,Acetone,urban air close to ground,-2.35441E-08,2.35E-08,3.72E-10,4.86E-08,6.80E-06,1.54E-08,3.57E-06,1.46E-08,4.01E-08,0,0,4.01E-08,6.80E-06,1.54E-08,3.57E-06,1.46E-08,4.01E-08,0,0,0,0,0,0,5.25E-12,2.68E-11,6.83E-13,7.71E-14,1.38E-12,8.54E-07,3.52E-06,1.16E-06,2.83E-08,0,6.96E-10,6.26E-10,5.71E-09,1.05E-08,1.51E-06,2.81E-09,6.65E-06,3.61E-07,1.16E-07,3.08E-06,5.68E-06,4.83E-08,2.55E-07,6.25E-09,5.71E-07
Air,Acetonitrile,non-urban air or from high stacks,-4.0621E-10,4.06E-10,8.97E-12,6.11E-10,1.74E-09,2.39E-10,1.15E-09,2.95E-10,3.64E-10,0,0,3.64E-10,1.74E-09,2.39E-10,1.15E-09,2.95E-10,3.64E-10,0,0,0,0,0,0,4.30E-14,2.13E-13,2.37E-13,2.42E-15,4.84E-14,6.78E-09,2.74E-08,1.03E-05,4.11E-10,0,5.32E-12,4.91E-12,4.77E-11,7.55E-11,1.73E-10,4.45E-09,6.89E-08,1.46E-08,2.30E-08,7.91E-09,4.94E-09,7.60E-08,2.64E-09,9.93E-11,1.20E-09
Air,Acifluorfen,non-urban air or from high stacks,-4.63782E-14,4.64E-14,-5.54E-16,-3.98E-14,1.62E-12,1.54E-13,1.13E-12,1.71E-13,2.23E-13,0,0,2.23E-13,1.62E-12,1.54E-13,1.13E-12,1.71E-13,2.23E-13,0,0,0,0,0,0,-2.87E-18,2.05E-16,-1.61E-17,-1.62E-19,-3.26E-18,6.52E-12,2.97E-11,1.47E-08,2.47E-13,0,5.52E-15,4.93E-15,2.32E-14,6.14E-14,1.01E-13,6.37E-12,8.08E-11,3.76E-12,2.90E-11,4.98E-12,2.84E-12,2.93E-11,8.53E-13,-6.48E-15,-8.28E-14
Air,Acrolein,non-urban air or from high stacks,-1.99628E-08,2.00E-08,2.45E-11,4.26E-09,1.15E-08,6.39E-10,9.11E-09,9.80E-10,2.26E-09,0,0,2.26E-09,1.15E-08,6.39E-10,9.11E-09,9.80E-10,2.26E-09,0,0,0,0,0,0,1.56E-13,3.06E-13,1.05E-13,1.14E-14,1.75E-13,9.74E-09,2.06E-08,1.03E-08,9.69E-10,0,6.28E-12,6.20E-12,2.70E-09,5.90E-10,2.02E-09,1.50E-10,1.37E-08,4.79E-09,1.86E-09,2.22E-07,1.13E-07,3.04E-09,3.63E-08,6.91E-10,3.02E-08
Air,Acrolein,unspecified,-1.82428E-09,1.82E-09,1.88E-11,4.74E-09,3.66E-10,2.59E-11,4.85E-09,3.73E-11,7.83E-11,0,0,7.83E-11,3.66E-10,2.59E-11,4.85E-09,3.73E-11,7.83E-11,0,0,0,0,0,0,2.96E-11,1.69E-13,2.57E-13,7.52E-15,9.14E-13,1.96E-06,1.14E-07,1.86E-06,5.24E-07,0,2.48E-12,2.74E-12,1.05E-10,2.00E-11,2.82E-09,4.24E-12,1.86E-09,1.65E-10,9.11E-11,5.18E-09,5.69E-09,9.98E-11,1.66E-08,7.65E-10,3.60E-06
Air,Acrolein,urban air close to ground,-7.17072E-12,7.17E-12,5.65E-11,7.05E-11,7.36E-07,2.78E-11,1.77E-10,2.00E-11,5.18E-11,0,0,5.18E-11,7.36E-07,2.78E-11,1.77E-10,2.00E-11,5.18E-11,0,0,0,0,0,0,2.15E-15,5.37E-15,1.18E-15,6.74E-17,2.18E-15,1.71E-10,1.48E-09,4.43E-10,4.26E-11,0,1.46E-13,1.25E-13,9.47E-12,1.02E-11,1.14E-10,1.08E-11,2.45E-09,1.60E-10,4.12E-10,8.68E-10,2.27E-09,2.61E-11,6.56E-10,1.28E-11,2.73E-10
Air,Acrylic acid,urban air close to ground,-8.59666E-14,8.60E-14,3.99E-13,2.45E-11,1.55E-10,3.19E-13,1.25E-10,1.49E-13,8.13E-13,0,0,8.13E-13,1.55E-10,3.19E-13,1.25E-10,1.49E-13,8.13E-13,0,0,0,0,0,0,2.74E-14,1.46E-15,5.79E-16,1.01E-16,1.01E-15,4.66E-11,-1.65E-11,4.73E-11,8.08E-13,0,3.71E-14,3.34E-14,9.47E-14,1.81E-13,1.62E-11,2.93E-14,2.08E-10,1.61E-11,3.23E-12,5.87E-12,2.52E-10,1.07E-12,6.76E-11,2.54E-12,9.25E-10
Air,"Actinides, radioactive, unspecified",non-urban air or from high stacks,-0.000142238,0.000142238,1.33E-07,1.33E-05,6.51E-05,4.09E-06,5.17E-05,6.49E-06,1.04E-05,0,0,1.04E-05,6.51E-05,4.09E-06,5.17E-05,6.49E-06,1.04E-05,0,0,0,0,0,0,5.37E-10,1.31E-09,3.20E-10,5.50E-11,6.61E-10,4.17E-05,8.71E-05,5.77E-05,6.14E-06,0,2.77E-08,2.71E-08,1.92E-05,4.05E-06,1.37E-05,9.40E-07,9.07E-05,3.34E-05,1.24E-05,1.54E-03,7.90E-04,1.70E-05,0.000215068,0.00000192,0.00019648
Air,"Aerosols, radioactive, unspecified",non-urban air or from high stacks,-2.21149E-08,2.21E-08,1.57E-11,-1.17E-10,4.75E-07,5.79E-08,3.48E-07,5.42E-08,1.05E-07,0,0,1.05E-07,4.75E-07,5.79E-08,3.48E-07,5.42E-08,1.05E-07,0,0,0,0,0,0,1.13E-13,1.88E-11,3.44E-14,2.83E-15,9.27E-14,5.98E-07,2.70E-06,8.78E-07,5.96E-08,0,5.82E-10,4.50E-10,5.59E-09,2.35E-08,3.74E-08,4.53E-09,7.74E-07,8.12E-08,6.68E-08,4.80E-06,4.65E-06,2.35E-08,1.05E-07,1.00E-11,1.27E-08
Air,Alachlor,non-urban air or from high stacks,-3.28209E-13,3.28E-13,-3.92E-15,-2.82E-13,1.14E-11,1.09E-12,8.03E-12,1.21E-12,1.58E-12,0,0,1.58E-12,1.14E-11,1.09E-12,8.03E-12,1.21E-12,1.58E-12,0,0,0,0,0,0,-2.03E-17,1.45E-15,-1.14E-16,-1.15E-18,-2.31E-17,4.61E-11,2.10E-10,1.04E-07,1.75E-12,0,3.90E-14,3.49E-14,1.64E-13,4.34E-13,7.13E-13,4.51E-11,5.72E-10,2.66E-11,2.05E-10,3.52E-11,2.01E-11,2.07E-10,6.03E-12,-4.58E-14,-5.86E-13
Air,"Aldehydes, unspecified",non-urban air or from high stacks,-6.90082E-08,6.90E-08,6.49E-11,5.49E-09,3.29E-08,2.17E-09,2.60E-08,3.31E-09,5.39E-09,0,0,5.39E-09,3.29E-08,2.17E-09,2.60E-08,3.31E-09,5.39E-09,0,0,0,0,0,0,2.36E-13,6.53E-13,1.48E-13,2.68E-14,2.98E-13,2.08E-08,4.88E-08,3.08E-08,3.18E-09,0,1.47E-11,1.39E-11,9.15E-09,2.04E-09,6.77E-09,4.66E-10,4.62E-08,1.64E-08,6.21E-09,7.68E-07,3.96E-07,8.31E-09,1.01E-07,7.91E-10,9.71E-08
Air,"Aldehydes, unspecified",unspecified,-1.34138E-08,1.34E-08,2.68E-11,8.74E-10,2.69E-09,1.90E-10,3.56E-08,2.74E-10,5.78E-10,0,0,5.78E-10,2.69E-09,1.90E-10,3.56E-08,2.74E-10,5.78E-10,0,0,0,0,0,0,1.71E-14,2.43E-14,3.41E-15,-3.10E-16,-4.62E-15,7.73E-10,8.30E-07,5.51E-09,5.44E-10,0,7.07E-13,6.40E-13,7.74E-10,1.47E-10,2.07E-08,3.12E-11,1.37E-08,1.21E-09,6.70E-10,3.81E-08,4.18E-08,7.34E-10,7.43E-09,1.68E-10,3.34E-09
Air,"Aldehydes, unspecified",urban air close to ground,-5.39866E-09,5.40E-09,6.00E-12,1.14E-09,1.67E-07,3.07E-09,1.33E-07,2.93E-09,4.11E-09,0,0,4.11E-09,1.67E-07,3.07E-09,1.33E-07,2.93E-09,4.11E-09,0,0,0,0,0,0,4.35E-14,7.06E-13,1.15E-14,2.97E-15,3.36E-14,2.25E-08,9.42E-08,3.48E-08,4.35E-09,0,2.04E-11,1.67E-11,7.92E-09,5.38E-10,7.24E-09,1.56E-10,8.75E-08,7.61E-09,2.87E-09,1.04E-07,1.30E-07,1.33E-09,1.68E-08,1.62E-10,5.42E-09
Air,Aluminium,"low population density, long-term",-3.8205E-06,3.82E-06,4.08E-09,-6.44E-07,3.19E-06,3.08E-07,2.42E-06,3.42E-07,6.21E-07,0,0,6.21E-07,3.19E-06,3.08E-07,2.42E-06,3.42E-07,6.21E-07,0,0,0,0,0,0,-1.07E-11,5.44E-11,1.55E-12,1.67E-12,-5.03E-12,1.73E-06,9.20E-06,4.45E-06,3.83E-07,0,2.06E-09,1.53E-09,3.40E-07,1.84E-07,4.75E-07,3.61E-08,4.75E-06,1.15E-06,5.32E-07,6.46E-05,3.52E-05,5.34E-07,2.20E-06,-9.16E-08,7.43E-06
Air,Aluminium,non-urban air or from high stacks,-9.06564E-10,9.07E-10,8.55E-12,-1.62E-08,4.31E-08,1.59E-09,3.28E-08,1.33E-09,4.54E-09,0,0,4.54E-09,4.31E-08,1.59E-09,3.28E-08,1.33E-09,4.54E-09,0,0,0,0,0,0,-4.98E-13,-1.06E-13,-9.41E-14,-2.17E-14,-1.12E-13,-3.36E-09,9.43E-08,6.04E-08,2.71E-09,0,7.08E-12,3.90E-12,4.63E-10,7.87E-10,4.10E-07,4.15E-10,3.84E-07,1.01E-07,1.57E-08,1.50E-07,1.77E-06,5.60E-09,-3.67E-08,-2.54E-09,4.89E-08
Air,Aluminium,unspecified,-4.20954E-05,4.21E-05,2.12E-07,1.13E-05,0.000119891,3.86E-06,9.38E-05,4.00E-06,1.75E-05,0,0,1.75E-05,0.000119891,3.86E-06,9.38E-05,4.00E-06,1.75E-05,0,0,0,0,0,0,6.07E-10,2.03E-09,5.40E-10,2.90E-11,8.02E-10,6.48E-05,0.000238084,8.49E-05,6.22E-06,0,4.97E-08,4.61E-08,5.93E-06,1.76E-05,2.25E-05,7.45E-07,2.31E-04,3.34E-05,9.91E-06,5.71E-04,6.42E-04,1.48E-05,8.69E-05,1.81E-06,0.000094771
Air,Aluminium,urban air close to ground,-2.21665E-07,2.22E-07,8.44E-10,3.32E-08,7.32E-06,5.46E-07,3.71E-06,4.54E-07,1.07E-06,0,0,1.07E-06,7.32E-06,5.46E-07,3.71E-06,4.54E-07,1.07E-06,0,0,0,0,0,0,3.00E-12,2.28E-10,2.50E-12,5.40E-14,5.95E-12,7.27E-06,3.28E-05,1.87E-05,7.73E-07,0,4.75E-09,5.47E-09,1.91E-07,1.68E-07,6.54E-07,1.10E-07,4.41E-05,2.05E-06,4.05E-06,3.18E-05,3.18E-05,3.66E-07,1.45E-06,5.59E-09,2.95E-07
