Compartment,Exchange,Subcompartment,Electricity_production,Electricity_consumption,Heat_Steam,Equipment_Diesel,Equipment_Gasoline,Equipment_LPG,Equipment_CNG,Equipment_Residual_Fuel_Oil,Equipment_Distillate,Equipment_Kerosene,Equipment_Petroleum_Crude_Oil,Boiler_Diesel,Boiler_Gasoline,Boiler_LPG,Boiler_CNG,Boiler_Residual_Fuel_Oil,Boiler_Distillate,Boiler_Kerosene,Boiler_Petroleum_Crude_Oil,Boiler_Coke,Boiler_Bitumen,Boiler_Coal,Boiler_Wood,Internal_Process_Transportation_Heavy_Duty_Diesel_Truck,Internal_Process_Transportation_Medium_Duty_Diesel_Truck,Internal_Process_Transportation_Barge,Internal_Process_Transportation_Cargo_Ship,Internal_Process_Transportation_Rail,Collection_Diesel,Collection_CNG,Collection_Biodiesel,Collection_Gasoline_Passenger_Vehicle,Collection_Other,Empty_Return_Heavy_Duty_Diesel_Truck,Empty_Return_Medium_Duty_Diesel_Truck,LF_Emission_Material_used,lime_hydrated_loose_weight_RoW_lime_production,ammonia_liquid_RoW_ammonia_production_steam_reforming_liquid,charcoal_GLO_charcoal_production,Nitrogen_Fertilizer,Phosphorous_Fertilizer,Potassium_Fertilizer,Peat,Gore_Cover,Wire,compost_to_LF,market_for_excavation_skid_steer_loader,
,,,kWh/Mg,kWh/Mg,MJ/Mg,L/Mg,L/Mg,L/Mg,,L/Mg,L/Mg,L/Mg,L/Mg,L/Mg,L/Mg,L/Mg,m3/Mg,L/Mg,L/Mg,L/Mg,L/Mg,,,,,kgkm/Mg,kgkm/Mg,kgkm/Mg,kgkm/Mg,kgkm/Mg,L/Mg,L/Mg,L/Mg,L/Mg,L/Mg,vkm/Mg,vkm/Mg,kg/Mg,kg/Mg,kg/Mg,kg/Mg,kg-P/Mg,kg-P/Mg,kg-K/Mg,Mg peat/Mg,kg/Mg,kg/Mg,kg/Mg,kg/m3,kg/m3
Water,"Iron, ion",unspecified,-1.80985E-05,1.81E-05,1.34E-07,3.79E-06,1.47E-05,9.34E-07,7.91E-05,1.45E-06,2.59E-06,0,0,2.59E-06,1.47E-05,9.34E-07,7.91E-05,1.45E-06,2.59E-06,0,0,0,0,0,0,1.65E-10,5.15E-10,2.65E-10,7.52E-12,1.26E-10,1.64E-05,0.00080972,2.44E-05,2.42E-06,0,1.17E-08,1.18E-08,1.09E-06,4.25E-07,4.26E-05,1.03E-07,3.24E-05,2.50E-06,1.72E-06,7.32E-05,8.66E-05,0.000500374,1.84E-05,6.59E-07,0.16001
Water,Iron-59,surface water,-8.68551E-08,8.69E-08,2.78E-09,1.12E-09,4.78E-08,3.81E-09,3.71E-08,5.04E-09,8.73E-09,0,0,8.73E-09,4.78E-08,3.81E-09,3.71E-08,5.04E-09,8.73E-09,0,0,0,0,0,0,8.55E-12,5.66E-13,9.99E-13,1.13E-13,1.91E-11,1.80E-08,5.08E-08,6.01E-08,4.95E-09,0,2.36E-11,1.74E-11,7.55E-09,2.90E-09,8.33E-09,5.74E-10,6.86E-08,2.04E-08,8.37E-09,1.16E-06,5.52E-07,9.99E-09,8.51E-08,6.98E-10,1.05E-06
Water,Isopropylamine,surface water,-4.07763E-12,4.08E-12,8.80E-14,4.74E-13,8.04E-11,4.22E-12,6.19E-11,4.50E-12,8.99E-12,0,0,8.99E-12,8.04E-11,4.22E-12,6.19E-11,4.50E-12,8.99E-12,0,0,0,0,0,0,4.25E-17,4.22E-15,3.27E-17,5.51E-18,2.09E-17,1.34E-10,6.06E-10,1.78E-08,4.74E-12,0,1.32E-13,1.01E-13,8.57E-13,2.83E-12,5.25E-12,6.87E-12,1.13E-08,5.05E-10,5.58E-09,7.85E-10,4.78E-10,3.60E-11,2.30E-11,7.52E-14,5.32E-12
Water,Lactic acid,surface water,-1.77861E-12,1.78E-12,1.46E-14,9.41E-13,4.99E-11,5.45E-12,3.71E-11,5.51E-12,1.13E-11,0,0,1.13E-11,4.99E-11,5.45E-12,3.71E-11,5.51E-12,1.13E-11,0,0,0,0,0,0,6.99E-17,1.46E-15,3.73E-16,3.81E-18,7.70E-17,4.65E-11,2.05E-10,3.77E-08,5.61E-12,0,4.17E-14,3.47E-14,5.64E-13,2.90E-12,5.49E-12,4.26E-12,1.82E-08,6.90E-10,1.03E-08,9.38E-10,6.02E-10,1.06E-10,1.04E-11,1.53E-13,2.18E-12
Water,Lanthanum-140,surface water,-1.06844E-07,1.07E-07,1.74E-10,-2.74E-08,2.19E-07,1.72E-08,1.70E-07,2.29E-08,3.80E-08,0,0,3.80E-08,2.19E-07,1.72E-08,1.70E-07,2.29E-08,3.80E-08,0,0,0,0,0,0,-4.54E-13,4.39E-12,6.66E-14,7.13E-14,-2.11E-13,1.40E-07,6.91E-07,3.05E-07,2.32E-08,0,1.50E-10,1.15E-10,1.03E-08,1.28E-08,3.77E-08,2.54E-09,2.92E-07,9.09E-08,3.75E-08,4.81E-06,2.22E-06,4.51E-08,5.31E-08,-3.90E-09,3.16E-07
Water,Lead,ground-,-3.16168E-10,3.16E-10,2.68E-11,2.71E-09,2.26E-07,2.80E-10,1.83E-07,2.52E-10,8.77E-10,0,0,8.77E-10,2.26E-07,2.80E-10,1.83E-07,2.52E-10,8.77E-10,0,0,0,0,0,0,2.41E-11,2.27E-13,1.49E-13,5.20E-15,5.13E-13,7.23E-09,1.84E-08,5.00E-08,3.91E-10,0,4.99E-12,4.66E-12,7.88E-11,1.41E-10,1.98E-09,4.62E-11,5.87E-07,2.34E-08,3.20E-07,4.94E-08,5.98E-08,1.24E-09,3.16E-08,4.32E-10,1.81E-07
Water,Lead,"ground-, long-term",-6.17286E-07,6.17E-07,2.14E-08,1.01E-06,2.52E-05,2.72E-07,2.01E-05,2.49E-07,9.76E-07,0,0,9.76E-07,2.52E-05,2.72E-07,2.01E-05,2.49E-07,9.76E-07,0,0,0,0,0,0,6.57E-11,2.31E-10,3.53E-11,2.74E-12,5.40E-11,7.35E-06,2.75E-05,8.24E-06,4.50E-07,0,6.29E-09,5.25E-09,4.12E-07,1.09E-07,1.98E-06,9.39E-08,2.29E-05,2.56E-06,7.26E-07,2.96E-05,4.67E-05,1.16E-06,4.26E-06,1.60E-07,7.72E-06
Water,Lead,ocean,-1.00519E-09,1.01E-09,5.70E-10,1.51E-07,2.41E-07,2.10E-07,4.31E-08,2.05E-07,2.17E-07,0,0,2.17E-07,2.41E-07,2.10E-07,4.31E-08,2.05E-07,2.17E-07,0,0,0,0,0,0,4.12E-12,8.14E-12,1.73E-12,2.30E-13,2.10E-12,2.59E-07,2.27E-07,8.12E-08,2.85E-07,0,1.43E-10,1.43E-10,8.91E-10,1.64E-08,5.43E-08,1.13E-09,1.80E-07,1.44E-08,1.08E-08,2.25E-07,1.41E-07,3.13E-09,3.87E-07,2.35E-08,7.45E-08
Water,Lead,surface water,-7.11377E-08,7.11E-08,1.40E-10,6.66E-08,3.59E-07,1.05E-07,2.04E-07,1.02E-07,1.20E-07,0,0,1.20E-07,3.59E-07,1.05E-07,2.04E-07,1.02E-07,1.20E-07,0,0,0,0,0,0,4.03E-12,6.37E-12,4.86E-13,1.47E-13,1.15E-12,2.03E-07,4.25E-07,5.72E-07,1.45E-07,0,1.41E-10,1.28E-10,8.00E-09,1.14E-08,4.12E-08,1.61E-09,1.48E-06,3.50E-06,3.94E-08,1.40E-06,1.28E-06,1.90E-08,5.24E-07,1.04E-08,2.41E-07
Water,Lead,unspecified,-1.01113E-07,1.01E-07,1.36E-09,2.58E-07,2.74E-07,9.90E-09,5.89E-07,1.08E-08,4.04E-08,0,0,4.04E-08,2.74E-07,9.90E-09,5.89E-07,1.08E-08,4.04E-08,0,0,0,0,0,0,1.59E-10,1.90E-11,7.29E-12,4.43E-13,1.50E-11,2.01E-07,7.94E-07,2.26E-07,1.80E-08,0,3.20E-10,3.39E-10,7.18E-09,4.48E-09,2.40E-07,1.43E-09,2.71E-07,2.13E-08,2.16E-08,6.21E-07,6.17E-07,3.67E-07,7.41E-07,4.73E-08,1.34E-06
Water,Lead-210,ground-,-2.6297E-09,2.63E-09,2.93E-10,3.43E-08,8.22E-08,2.13E-08,5.47E-08,2.05E-08,2.55E-08,0,0,2.55E-08,8.22E-08,2.13E-08,5.47E-08,2.05E-08,2.55E-08,0,0,0,0,0,0,1.05E-12,2.33E-12,5.24E-13,5.43E-14,6.24E-13,7.43E-08,1.71E-07,6.29E-06,3.02E-08,0,4.70E-11,4.49E-11,5.30E-10,2.49E-09,3.34E-08,1.33E-09,8.43E-05,3.76E-05,2.11E-07,1.29E-07,3.60E-07,1.25E-08,9.22E-08,5.39E-09,3.26E-08
Water,Lead-210,ocean,-5.13618E-07,5.14E-07,5.73E-08,6.69E-06,1.60E-05,4.16E-06,1.07E-05,4.01E-06,4.96E-06,0,0,4.96E-06,1.60E-05,4.16E-06,1.07E-05,4.01E-06,4.96E-06,0,0,0,0,0,0,2.06E-10,4.56E-10,1.02E-10,1.06E-11,1.22E-10,1.45E-05,3.33E-05,0.001228841,5.90E-06,0,9.19E-09,8.77E-09,1.03E-07,4.86E-07,6.52E-06,2.60E-07,1.65E-02,7.35E-03,4.11E-05,2.51E-05,7.03E-05,2.45E-06,1.80E-05,0.000001053,6.38E-06
Water,Lead-210,surface water,-4.81993E-05,4.82E-05,4.35E-08,1.18E-05,2.63E-05,1.98E-06,2.05E-05,2.62E-06,4.58E-06,0,0,4.58E-06,2.63E-05,1.98E-06,2.05E-05,2.62E-06,4.58E-06,0,0,0,0,0,0,5.39E-10,5.91E-10,2.99E-10,2.52E-11,3.57E-10,1.88E-05,5.90E-05,3.05E-05,2.58E-06,0,1.48E-08,1.32E-08,5.92E-06,1.52E-06,4.80E-06,3.46E-07,4.15E-05,1.18E-05,4.68E-06,5.57E-04,3.11E-04,5.81E-06,7.75E-05,3.00E-06,0.00006427
Water,Lead-210,unspecified,-8.84745E-05,8.85E-05,7.03E-10,1.10E-07,2.28E-05,1.51E-06,3.57E-04,2.15E-06,0.000005136,0,0,0.000005136,2.28E-05,1.51E-06,0.000357325,2.15E-06,0.000005136,0,0,0,0,0,0,6.02E-12,2.78E-10,3.30E-12,2.41E-13,1.23E-11,8.84E-06,3.96E-05,5.21E-05,4.89E-06,0,7.11E-09,6.64E-09,5.14E-06,1.18E-06,0.000208588,2.56E-07,1.36E-04,9.89E-06,5.78E-06,3.05E-04,3.82E-04,6.06E-06,3.63E-05,1.79E-08,6.16E-07
Water,Lithium,ground-,-4.53071E-16,4.53E-16,6.90E-14,1.75E-11,1.58E-09,1.64E-15,1.28E-09,1.14E-15,5.74E-15,0,0,5.74E-15,1.58E-09,1.64E-15,1.28E-09,1.14E-15,5.74E-15,0,0,0,0,0,0,1.78E-13,6.27E-16,9.78E-16,2.86E-17,3.49E-15,2.00E-11,3.53E-12,3.28E-14,2.85E-15,0,9.02E-15,1.00E-14,5.43E-16,2.57E-16,2.13E-14,5.97E-16,2.72E-13,2.13E-14,5.90E-15,5.56E-14,3.63E-13,4.38E-15,6.94E-11,2.81E-12,1.30E-09
Water,"Lithium, ion",surface water,-2.00243E-10,2.00E-10,8.22E-14,-3.81E-13,3.72E-09,2.59E-10,2.82E-09,2.33E-10,4.84E-10,0,0,4.84E-10,3.72E-09,2.59E-10,2.82E-09,2.33E-10,4.84E-10,0,0,0,0,0,0,1.34E-16,1.42E-13,-6.58E-16,-2.38E-18,-5.63E-17,4.52E-09,2.04E-08,4.39E-07,3.51E-10,0,4.45E-12,3.40E-12,8.06E-11,8.14E-11,5.01E-10,1.54E-10,1.59E-07,5.94E-09,7.83E-08,1.99E-08,5.15E-08,2.16E-09,8.53E-10,-6.49E-14,1.55E-11
