"('SWOLF_Eutrophication', 'SWOLF')","('initflow', 'N_cont')","('Material_Properties', 'mcFC')","('Land_app', 'densPeat')","('initflow', 'C_cont')","('Land_app', 'perNasNH3fc')","('Land_app', 'PeatSubFac')","('Land_app', 'MFEN')","('Land_app', 'NO3')","('Material_Properties', 'densFC')","('Lanfill', 'percCStor_LF')","('Land_app', 'perNH3evap')","('Soil_seq', 'perCStor')"
-6.591580774,0.015381584,0.286148293,215.5524226,0.191525729,17.96564975,0.701196282,0.547311184,0.858932378,472.1216418,87.83331537,15.71951221,5.206211482
-8.259936927,0.01541484,0.197947364,230.6928737,0.290458925,42.74088193,0.86724838,0.366204314,0.816700267,553.8667635,84.18790612,18.20171159,8.308649966
-2.639085482,0.012953426,0.21106723,179.3592224,0.241944849,37.91136295,0.881673905,0.274951608,0.286515527,577.9446376,90.34814832,17.70869591,4.970052411
-10.03702229,0.023799583,0.250928201,147.1306758,0.450742726,16.77093636,0.819837505,0.646734406,0.703261824,722.6645822,91.67066461,10.63049163,2.051797433
-2.995947405,0.016048333,0.278311237,162.1774392,0.331148722,30.57331249,0.515996429,0.222159238,0.274822856,691.4614269,90.36295964,15.59741276,4.390330217
-5.813625678,0.014856824,0.482061114,197.8542446,0.32445441,2.802915849,0.776545822,0.310443727,0.831685728,863.5046951,89.67306533,18.99332227,5.396191298
-0.412321528,0.006459754,0.567157144,166.5381006,0.385660389,44.67122339,0.721674478,0.776113869,0.257803846,521.7877288,93.68483489,17.44425095,10.34795351
-0.747394014,0.009921491,0.24801903,191.5674327,0.205885882,1.672172764,0.473845664,0.661654947,0.181098412,722.6470251,92.40303961,17.51120547,9.50989233
-1.138253659,0.007150524,0.46498291,201.4283084,0.247645314,49.87378253,0.691802592,0.382378121,0.358067194,645.2557138,86.72793026,17.1346294,14.49749745
-7.702236379,0.016964381,0.372268862,146.1491134,0.257533506,44.84475399,0.702243508,0.323264548,0.779009523,718.486071,91.97371904,14.64636088,13.52517786
-7.3433902,0.01646374,0.248586333,113.1986751,0.449875102,12.4131418,0.842430209,0.403820421,0.767784536,582.9240933,88.51483243,16.99154099,11.46357533
-7.941477374,0.021449346,0.413152831,140.3161331,0.308190455,10.98200609,0.592829336,0.363969701,0.714302635,840.0625786,92.17697188,15.19342146,3.461304803
-3.580359929,0.010736526,0.485599864,182.1196871,0.129211793,19.1598248,0.694326474,0.639562103,0.86599406,539.0688577,90.9327464,12.47486317,11.10878967
-5.275694355,0.012308371,0.283570458,241.492525,0.130965913,13.9352349,0.39077595,0.495998186,0.712231688,535.125944,94.10084923,12.07091326,12.32733674
-9.349594242,0.024383586,0.289171262,81.67653563,0.199927864,33.26767049,0.86254584,0.769548037,0.755722444,603.4727764,86.57367653,16.52879211,8.393657362
-0.465695938,0.021877293,0.292382447,160.6789334,0.184533371,26.45201564,0.410261299,0.340371084,0.03385996,812.8959389,90.30567406,15.47957165,9.889954524
-3.325242707,0.025939933,0.664714074,245.9415439,0.123889013,49.73605452,0.650458477,0.554124122,0.49655122,631.4794276,85.82448298,14.3932055,15.90765753
-4.494420586,0.010031204,0.328281488,224.284341,0.456035918,31.92734965,0.595196311,0.286688514,0.786856321,764.5985415,95.67672117,15.07951314,10.1105256
-1.711141901,0.005195583,0.475325796,325.7745482,0.219362192,1.228532492,0.75971905,0.349480979,0.73323888,712.5222816,87.4130334,12.83295293,6.810185881
-0.753427075,0.010154293,0.514522088,252.9746439,0.276672586,47.10578025,0.729287851,0.406476615,0.1764042,525.9495535,91.77469594,15.08549932,7.490344078
-0.399526247,0.012838919,0.393212637,240.6811035,0.203845657,43.02063671,0.929123161,0.457805995,0.066227067,972.576176,92.09258234,13.63464305,14.12963821
-6.682158129,0.024763461,0.242869405,161.5631224,0.131957897,22.94014135,0.549600383,0.792085446,0.655459073,628.3813139,91.68036948,13.96678838,3.23519899
-3.107762082,0.023835435,0.339122293,227.3748173,0.169905953,35.75198343,0.624828408,0.779960768,0.369281363,806.0448458,87.28059051,13.57080117,2.811551789
-5.705312398,0.016634807,0.338938226,255.4600136,0.163618934,7.503146639,0.793285282,0.387529604,0.597895364,782.6665622,94.12265429,14.03991644,12.73065434
-6.941738475,0.017106023,0.189588703,195.0814045,0.298969958,17.61313446,0.617673612,0.671846823,0.857950217,811.9262475,86.95756036,12.92216653,6.815932448
-1.186722694,0.016925564,0.226444898,183.6069188,0.252323726,26.36887872,0.401120509,0.620271982,0.129410292,775.9387001,86.82431488,14.70574413,4.029492569
-1.703950885,0.012173761,0.487696087,162.6381431,0.248043716,45.19157562,0.901103936,0.661508393,0.470702532,695.401123,87.10486807,15.13232692,13.81471873
-0.57405398,0.01732655,0.629975567,215.7286882,0.424879842,37.04677877,0.483860393,0.239418429,0.096360811,424.3881614,90.19394777,17.32057947,2.898145581
-1.986776445,0.012208587,0.647206547,246.6983001,0.186074237,35.18589333,0.628679933,0.234265476,0.523781234,897.1119954,93.40064734,18.90013414,9.099862992
-1.393220331,0.025847597,0.612731877,169.5047264,0.453803098,40.28218165,0.72030773,0.25057467,0.152359294,811.7084369,90.1542107,15.99178377,10.87573219
-5.343045257,0.017329317,0.271175224,287.0311124,0.352514698,14.95653734,0.422778938,0.259873534,0.476960087,729.23177,83.98430619,12.18853859,4.308277876
-0.324034644,0.018145169,0.475767745,144.5861663,0.192229151,3.720963004,0.801568718,0.510596433,0.061293106,777.9645248,89.48185631,16.101698,9.866649156
-8.909718089,0.026656197,0.405508631,208.2626455,0.205140326,19.24445238,0.432984416,0.394008668,0.689645409,714.8147616,86.58094602,13.20629015,14.73686493
-1.692059751,0.027863708,0.342187337,300.5654928,0.30682931,16.47447041,0.678832967,0.655287478,0.136264747,664.3784234,87.71296447,17.66037993,7.522147525
-5.036554078,0.023030767,0.352877027,72.41425126,0.442467863,26.71922571,0.772576435,0.258506299,0.352956302,824.8786247,89.28752977,17.0083037,12.18567218
-0.287699683,0.012759281,0.633960852,219.2554225,0.120509233,36.60882057,0.76010668,0.77845513,0.112196542,757.3026753,89.27766183,12.49115542,8.680937584
-2.924426908,0.020735836,0.202873305,251.2319281,0.128460899,32.59487134,0.66905596,0.620920159,0.22770544,787.9189912,86.85336486,18.97664165,15.05873461
-2.571650923,0.020755738,0.201327575,148.2562365,0.122969085,1.529476518,0.642790413,0.555666772,0.210205,659.4890786,84.49672254,11.5786822,6.793240197
-2.1649878,0.011028557,0.658116161,258.5132537,0.314608396,1.057338738,0.718069672,0.373521926,0.650137996,642.6491604,89.18365366,17.75535169,13.40330236
-1.885294467,0.017310962,0.585473518,193.0378155,0.116081788,16.96606262,0.736455074,0.550675345,0.39132251,591.6819927,86.45371523,17.25182473,2.187693882
-1.441423773,0.021328858,0.262230514,180.4295796,0.408530644,8.881936679,0.375288423,0.313127262,0.103680124,787.5108672,90.13326334,14.22749305,7.442053647
-1.642574391,0.026013328,0.613500977,207.6692166,0.142902102,14.02481454,0.865579497,0.322580658,0.196113906,486.2088735,94.9191318,14.28578708,12.62868474
-2.474523412,0.008919854,0.424944224,183.3370578,0.213202247,47.2899311,0.734865038,0.252361884,0.533400975,619.6648461,90.29637746,15.07047257,5.412851639
-0.689734391,0.016562968,0.631103642,259.7501964,0.279242755,30.52977057,0.622116744,0.215932541,0.128344145,810.1131104,94.72396617,16.09380093,8.215151665
-8.123798223,0.02109524,0.431318598,238.0891784,0.344613832,24.16913147,0.777706918,0.26957399,0.721500724,818.9335245,88.13536783,15.95691631,7.682872878
-1.737918792,0.006425728,0.544866812,284.0559738,0.177392182,36.56559733,0.439607993,0.339428221,0.678475314,722.9888698,89.14425497,13.10683509,11.5667472
-8.028908887,0.020325652,0.426925539,252.7493009,0.209084011,40.43728538,0.484097042,0.340350701,0.758644501,550.3446038,90.37906839,16.55208223,5.19952008
-3.905309031,0.016365151,0.559191239,176.4456981,0.233686652,29.11657065,0.800659813,0.30947296,0.654497633,682.060085,85.66303772,14.88849826,12.19790779
-1.404272629,0.014175071,0.467461832,149.1046862,0.121215131,31.30526304,0.776795082,0.529940657,0.268354957,731.6195124,87.45487747,15.48923011,9.414627762
-0.579392396,0.022398548,0.348995217,204.0214513,0.406707694,49.07802545,0.784015189,0.540880731,0.054094734,651.4116694,87.42360867,12.89011983,6.051052529
-5.41289178,0.018755409,0.412174887,94.73620971,0.400141169,44.82013425,0.812909631,0.413055966,0.64673894,806.3094583,91.00133472,15.52879165,10.71405662
-5.658587811,0.01836122,0.22990589,188.9341183,0.423957787,10.24098895,0.27905808,0.255723682,0.446718933,652.6563732,92.28438272,19.7033221,11.28611759
-8.872478732,0.026164089,0.222936905,214.5458291,0.337574856,40.54724055,0.800175785,0.273900013,0.495153511,561.5304517,86.26860298,15.62291577,10.08941806
-1.825410576,0.013522187,0.451076887,314.991662,0.449760572,41.64920623,0.964742138,0.447251437,0.317928536,405.7704118,86.45707011,13.56328488,12.68256729
-1.508870473,0.019292692,0.624387354,135.950263,0.314848166,19.60340993,0.769608447,0.700049939,0.336617663,723.4357938,90.58723966,12.95365213,11.44576094
-3.066248125,0.016354606,0.647437566,164.109258,0.178779056,47.25643279,0.40753754,0.438327749,0.669305522,531.3955804,88.8369701,11.40809729,8.81104029
-0.654445345,0.005328591,0.568010995,208.4383161,0.409057916,12.77493621,0.654384745,0.379475092,0.346820757,814.0941872,87.39159166,12.14740954,12.24034329
-2.465142164,0.015487102,0.233655437,305.0507053,0.292333013,44.14170494,0.395534527,0.641999564,0.309327459,723.1854038,89.27685287,12.44998923,9.346545385
-0.872289509,0.011228643,0.498847506,166.2662601,0.447719621,6.827264561,0.594356842,0.383040852,0.200015078,945.0720268,93.43301252,15.2714514,9.700711793
-4.60489229,0.023811968,0.449585918,207.8652916,0.394471007,20.50785866,0.868789307,0.224515808,0.371769364,718.9802063,92.34012946,11.69718216,4.6569902
-3.536579768,0.006555314,0.263898077,295.5440623,0.33023632,21.4266893,0.948150273,0.41968835,0.82680949,578.8249797,89.92048287,14.99502679,13.4726136
-7.657266034,0.027835372,0.589441342,166.7551188,0.353820194,33.29771595,0.772980625,0.553364383,0.862786517,967.1629941,88.34213902,12.26645416,11.55488417
-5.17711681,0.022692994,0.273413812,101.1427303,0.2077571,17.95978782,0.560079424,0.695127018,0.566543163,611.5768532,91.4655828,15.99474731,8.165700739
-3.238999897,0.025582113,0.392826193,205.4334566,0.166065456,14.42386324,0.565836669,0.778123897,0.39449332,594.3802303,89.02066914,15.83364338,14.7988197
-0.414949063,0.01180423,0.351524857,180.8660217,0.201283882,14.62420429,0.589506963,0.687597842,0.09139068,651.9670465,85.96520079,14.89400391,10.43856146
-3.290253812,0.014048604,0.392538227,199.5132273,0.44104607,24.81807262,0.580589271,0.683289968,0.616536076,695.1552713,83.74601663,14.25652004,11.41595836
-2.77489873,0.019608913,0.658303812,146.7853443,0.460075215,1.158011479,0.387284243,0.380631577,0.483334643,747.3493776,91.43177526,15.96496412,13.63059779
-7.65324537,0.019793135,0.218314973,227.7061729,0.39644885,9.78154062,0.588491297,0.589742451,0.787419629,815.096677,86.91689527,17.78914298,13.03837161
-0.046024645,0.009436833,0.635919048,355.9976321,0.170784412,25.64301176,0.917803953,0.712500997,0.043801484,762.0887102,93.18114048,15.36863393,11.94297161
-0.513362738,0.005956185,0.654881214,49.0760424,0.122328645,41.27489644,0.680756258,0.61957809,0.323942671,827.5719576,88.39671877,15.60791036,15.23655949
-5.943845503,0.021214861,0.452366382,199.8655095,0.229489214,34.99825452,0.64280102,0.748412383,0.711039409,667.5509647,92.06232643,12.61313452,10.81637864
-3.496381116,0.023218546,0.454380183,200.744735,0.455288983,13.56965307,0.388395389,0.590847734,0.350241396,765.2171723,91.13185272,17.8850464,13.88969824
-9.422249702,0.017937822,0.232059096,251.5508422,0.265156188,32.83252066,0.765224065,0.230181242,0.713595491,602.4893251,93.43983294,16.58023583,12.16484182
-4.353362016,0.011164197,0.277512843,267.1820358,0.463158127,23.01479861,0.725395977,0.30664753,0.595559387,529.0031647,91.93223698,12.1637753,9.238089131
-0.64440548,0.010712709,0.56989738,76.61146704,0.18535427,34.36430819,0.676632651,0.627907002,0.20175298,514.7784873,96.81017032,15.4847297,3.29901468
-1.524336569,0.021760402,0.476331289,166.8213318,0.346046022,22.94686695,0.908443276,0.540550903,0.189147121,828.9810562,94.06704549,14.75230407,11.3062168
-1.075378887,0.005997524,0.234737655,187.067325,0.30755158,4.765896703,0.467231069,0.320123531,0.278404055,576.1480566,91.97118754,13.87369585,2.316685787
-1.248364934,0.00655141,0.298786095,211.581007,0.374287204,13.1183501,0.812062038,0.283824127,0.315498034,694.3922999,87.50802678,14.05484379,2.65231253
-12.45940806,0.025570384,0.208450442,175.5039759,0.43292604,46.33862177,0.681702871,0.543275691,0.783784794,674.5380438,92.3459097,17.55655314,7.21853097
-3.752141184,0.019381333,0.445620231,147.0807957,0.128554177,10.50012412,0.69844008,0.330671013,0.422057947,796.4017858,90.01449543,15.0367814,5.057258219
-3.982355718,0.022228146,0.632074733,283.0533858,0.464495322,16.68200221,0.657146601,0.357886898,0.599960988,530.940234,94.60558516,13.57727276,7.088022776
-0.447421444,0.010271677,0.365198569,226.882429,0.297291354,30.0724167,0.548374267,0.665369757,0.14826821,820.441065,97.9818833,16.89012122,2.127940907
-1.343328256,0.018433545,0.235090455,161.2468716,0.363942842,8.159605602,0.788713577,0.772527712,0.187502124,744.1026971,90.1779619,14.83395332,4.716912513
-2.022179521,0.018584518,0.458518145,227.4321562,0.37390057,6.959024079,0.776172405,0.510818313,0.256073339,605.0815716,90.95355892,15.84190063,6.308587936
-3.980430345,0.018750877,0.200410463,210.4345217,0.110892496,3.243035585,0.374293997,0.537803477,0.360892158,662.4821668,89.32405377,14.13746369,8.422966892
-2.419538598,0.026712702,0.423465455,210.2698745,0.426662579,19.9910804,0.433043162,0.201603599,0.164863789,685.6227278,90.41552522,18.43467577,9.330965262
-2.037737054,0.013169607,0.532020048,193.0267164,0.163866398,37.32470363,0.688628052,0.685589041,0.484199286,652.3158564,88.63010455,17.0595841,12.83720048
-7.566025293,0.021084441,0.378422695,232.1734224,0.125342186,7.428526636,0.671950905,0.518057549,0.775610573,701.9934073,86.34314574,17.79026831,9.795199146
-5.888614664,0.019334633,0.549437961,302.0368398,0.246415898,30.33134707,0.83903931,0.247219737,0.730330204,913.848979,93.67951991,15.99624815,2.973114156
-2.924537012,0.0142708,0.250626562,275.7596238,0.379436041,47.73319531,0.853052519,0.401220468,0.350847014,667.8987777,85.84294728,13.44305382,11.16080129
-0.434388878,0.009348476,0.656536616,204.9502252,0.167155876,16.49360526,0.606902388,0.779981401,0.27431053,709.9938101,94.5433421,15.73940635,14.14132602
-2.96037991,0.02177019,0.400918472,325.5393964,0.354938093,35.90177537,0.54889875,0.552083085,0.334236071,732.9452318,92.33627162,16.59135964,7.771421656
-4.213333479,0.014256871,0.386977839,288.1500311,0.447132065,14.16719624,0.716304181,0.734220738,0.710892585,726.5034714,88.82930529,16.04182393,11.94303233
-4.480836804,0.011532977,0.407887192,180.1175663,0.344480556,42.81014881,0.319366555,0.384729583,0.79365775,732.1812428,88.51029288,17.48079191,10.66757767
-0.647923691,0.015525348,0.226952989,209.1134316,0.11125345,32.80545019,0.702418625,0.711519622,0.092739869,707.0330498,94.12359314,18.07645133,2.67880239
-0.694049545,0.010613185,0.579121431,285.4370382,0.213067798,14.35600296,0.9698227,0.55155808,0.216488127,661.322711,93.53792053,17.80121883,15.91700386
-9.980004628,0.026209741,0.187625435,198.4308545,0.3174216,38.80117642,0.428616876,0.362377453,0.50947515,669.0172751,91.27821115,16.76228852,13.21783944
-3.226013276,0.018280584,0.587519589,218.6550307,0.453774326,33.68303683,0.944029727,0.348420101,0.474488336,607.5051467,91.4582778,14.58458583,3.665880577
